Sequence ID,gb,knn,log,nb,rf,svm,tree
NP_415694.1 Z-ring positioning protein MinC,0,0,0,0,0,0,0
NP_415695.1 PF05666 family protein YcgJ,1,0,0,1,1,0,1
NP_415696.1 inhibitor of g-type lysozyme,1,0,1,1,1,1,1
NP_415697.5 PF05166 family protein YcgL,1,0,1,0,0,0,0
NP_415698.1 putative isomerase/hydrolase,0,0,0,0,0,0,0
NP_415699.5 PF03693 family protein YcgN,1,0,0,0,0,0,0
NP_415700.4 hemolysin E,1,1,1,0,1,1,1
NP_415701.1 DNA polymerase V protein UmuD,1,1,1,1,1,1,1
NP_415702.1 DNA polymerase V catalytic protein,0,0,1,0,0,0,0
NP_415703.3 protein thiol:quinone oxidoreductase DsbB,1,1,1,1,1,1,1
NP_415704.1 Na(+):H(+) antiporter NhaB,1,1,1,1,1,1,1
NP_415705.1 DNA-binding transcriptional dual regulator FadR,1,1,0,0,0,1,0
NP_415706.1 PF04293 family protein YcgB,0,0,0,0,0,0,0
NP_415707.1 D-amino acid dehydrogenase,1,0,1,1,1,1,0
NP_415708.1 alanine racemase 2,1,0,1,1,1,1,0
NP_415709.2 putative K(+):H(+) antiporter,1,1,1,1,1,1,1
NP_415710.1 murein LD-carboxypeptidase,1,1,0,1,1,1,1
NP_415711.2 lytic murein transglycosylase E,1,1,1,1,1,1,0
NP_415712.1 flagellar brake protein YcgR,0,0,0,0,0,0,0
NP_415713.1 PF04226 family protein YmgE,1,1,1,1,1,1,1
NP_415714.1 uncharacterized protein YcgY,0,0,0,0,0,0,0
NP_415715.1 periplasmic trehalase,1,0,1,1,1,1,1
NP_415716.4 dihydroxyacetone kinase subunit M,0,0,0,0,0,0,0
NP_415717.1 dihydroxyacetone kinase subunit L,1,0,0,0,0,0,0
NP_415718.6 dihydroxyacetone kinase subunit K,1,0,1,1,0,0,0
NP_415719.2 DNA-binding transcriptional dual regulator DhaR,0,0,0,1,1,0,0
NP_415720.1 putative autotransporter adhesin YcgV,1,1,1,1,1,1,1
NP_415721.1 redox-responsive ATPase YchF,0,0,0,0,0,0,0
NP_415722.1 peptidyl-tRNA hydrolase,1,0,1,0,0,1,0
NP_415723.1 stress-induced protein,1,0,1,1,1,0,1
NP_415724.2 aerobic C4-dicarboxylate transporter DauA,1,1,1,1,1,1,1
NP_415725.1 ribose-phosphate diphosphokinase,1,0,1,0,0,1,0
NP_415726.1 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,1,1,1,1,0,1,0
NP_415727.1 outer membrane lipoprotein LolB,1,1,1,0,1,1,0
NP_415728.1 glutamyl-tRNA reductase,0,0,0,0,0,0,0
NP_415729.1 peptide chain release factor RF1,1,0,1,0,0,0,0
NP_415730.1 protein-(glutamine-N(5)) methyltransferase,1,1,1,0,0,1,0
NP_415731.1 SirB family protein YchQ,1,1,1,1,1,1,1
NP_415732.1 transglutaminase-like/TPR repeat-containing protein,1,1,1,0,0,1,0
NP_415733.1 3-deoxy-D-manno-octulosonate 8-phosphate synthase,0,0,0,0,0,0,0
NP_415734.1 Na(+)/K(+):H(+) antiporter ChaA,1,1,1,1,1,1,1
NP_415735.1 putative cation transport regulator ChaB,0,0,0,0,0,0,0
NP_415736.2 glutathione-specific gamma-glutamylcyclotransferase,0,1,0,1,0,0,0
NP_415737.1 DsrE/F sulfur relay family protein YchN,1,1,1,1,1,1,1
NP_415738.2 putative invasin YchO,1,1,1,1,1,1,1
NP_415739.1 DNA-binding transcriptional dual regulator NarL,1,0,0,0,0,0,0
NP_415740.1 sensory histidine kinase NarX,1,1,1,1,1,1,1
NP_415741.1 nitrate:nitrite antiporter NarK,1,1,1,1,1,1,1
NP_415742.1 nitrate reductase A subunit alpha,1,1,1,1,1,1,1
NP_415743.1 nitrate reductase A subunit beta,1,1,1,0,1,0,1
NP_415744.1 nitrate reductase 1 molybdenum cofactor assembly chaperone,0,0,0,0,0,0,0
NP_415745.1 nitrate reductase A subunit gamma,1,1,1,1,1,1,1
NP_415747.2 protamine-like protein,0,0,0,0,0,0,0
NP_415748.1 formyltetrahydrofolate deformylase,1,0,0,0,0,0,0
NP_415749.1 NTF2-like domain-containing protein YchJ,1,0,1,0,0,1,0
NP_415750.2 putative patatin-like phospholipase RssA,1,1,0,1,1,1,0
NP_415751.1 regulator of RpoS,1,1,1,1,1,1,1
NP_415752.1 UTP--glucose-1-phosphate uridylyltransferase,0,0,0,0,0,0,0
NP_415753.1 DNA-binding transcriptional dual regulator H-NS,1,0,1,0,0,0,0
NP_415754.1 thymidine/deoxyuridine kinase,1,1,1,0,0,1,0
NP_415757.1 aldehyde-alcohol dehydrogenase,1,0,1,1,1,1,1
NP_415758.1 putative inner membrane protein,1,1,1,1,1,1,1
NP_415759.1 oligopeptide ABC transporter periplasmic binding protein,1,1,1,1,1,1,1
NP_415760.1 murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppB,1,1,1,1,1,1,1
NP_415761.1 murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppC,1,1,1,1,1,1,1
NP_415763.1 murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppF,1,1,0,0,1,0,1
NP_415764.4 DUF440 domain-containing protein YciU,0,0,0,0,0,0,0
NP_415765.1 cardiolipin synthase A,1,1,0,1,1,0,0
NP_415766.1 K(+) channel Kch,1,1,1,1,1,1,1
NP_415767.2 protein YciI,0,1,0,0,0,0,0
NP_415768.1 Ton complex subunit TonB,1,1,0,0,1,0,1
NP_415769.1 acyl-CoA thioesterase,0,0,0,0,0,0,0
NP_415770.1 inner membrane protein,1,1,1,1,1,1,1
NP_415771.1 putative inner membrane protein,1,0,1,1,0,1,0
NP_415772.1 outer membrane protein W,1,1,1,1,1,1,1
NP_415773.1 DUF892 domain-containing protein YciE,0,0,0,0,0,0,0
NP_415774.1 DUF892 domain-containing protein YciF,0,0,0,0,0,0,0
NP_415775.4 protein YciG,0,0,0,0,0,0,0
NP_415776.1 tryptophan synthase subunit alpha,0,0,0,1,0,0,0
NP_415777.1 tryptophan synthase subunit beta,0,0,0,0,0,0,0
NP_415778.3 fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase,0,0,1,1,0,0,0
NP_415779.1 anthranilate synthase subunit TrpD,0,0,0,1,0,0,0
NP_415780.1 anthranilate synthase subunit TrpE,0,0,1,0,0,0,0
NP_415781.1 trp operon leader peptide,0,0,1,1,0,1,0
NP_415782.1 RNA/ssDNA 5'-_3' exonuclease,0,0,0,0,0,0,0
NP_415783.6 putative RNA-binding protein YciO,0,0,0,0,0,0,0
NP_415784.1 DUF2207 domain-containing protein YciQ,1,1,1,1,1,1,1
NP_415785.1 23S rRNA pseudouridine(2605) synthase,1,0,1,0,0,0,0
NP_415786.1 cobinamide/cobalamin adenosyltransferase,1,1,1,0,0,0,0
NP_415787.1 putative oxidoreductase,1,1,1,0,1,1,1
NP_415788.1 S49 peptidase family protein,1,0,1,0,1,1,1
NP_415789.1 protein YciN,1,1,1,0,0,1,0
NP_415790.1 DNA topoisomerase 1,1,0,1,1,1,0,0
NP_415791.1 DNA-binding transcriptional dual regulator CysB,1,1,1,0,0,1,1
NP_415792.1 aconitate hydratase 1,1,0,1,1,1,0,0
NP_415793.1 GTP cyclohydrolase 2,1,0,1,0,0,1,0
NP_415794.1 phosphatidylglycerophosphatase B,1,0,1,1,1,1,1
NP_415795.1 lipopolysaccharide assembly protein A,1,1,1,1,1,1,1
NP_415796.1 lipopolysaccharide assembly protein B,1,0,1,0,1,1,1
NP_415797.1 orotidine-5'-phosphate decarboxylase,0,0,0,0,0,0,0
NP_415798.2 putative translation factor,0,0,0,0,0,0,0
NP_415799.1 osmotically-inducible lipoprotein OsmB,1,1,1,1,1,1,1
NP_415800.1 putative DNA-binding transcriptional regulator YciT,0,1,0,0,0,0,0
NP_415801.1 cyclic di-GMP phosphodiesterase PdeR,0,1,0,1,1,0,0
NP_415802.1 RNase II,0,0,0,0,0,0,0
NP_415803.2 putative oxidoreductase,1,0,1,1,1,1,1
NP_415804.1 enoyl-[acyl-carrier-protein] reductase,1,0,1,1,1,1,0
NP_415805.1 DUF559 domain-containing protein YcjD,0,0,0,0,0,0,0
NP_415806.1 putrescine ABC exporter ATP binding protein SapF,1,1,0,0,1,1,1
NP_415807.1 putrescine ABC exporter ATP binding protein SapD,1,1,0,0,1,0,1
NP_415808.1 putrescine ABC exporter membrane protein SapC,1,1,1,1,1,1,1
NP_415809.1 putrescine ABC exporter membrane subunit SapB,1,1,1,1,1,1,1
NP_415810.1 putative periplasmic binding protein SapA,1,1,1,1,1,1,1
NP_415811.1 DUF2543 domain-containing protein YmjA,0,0,0,0,0,0,0
NP_415812.4 putrescine:H(+) symporter PuuP,1,1,1,1,1,1,1
NP_415813.4 glutamate-putrescine ligase,0,0,0,0,0,0,0
NP_415814.4 gamma-glutamyl-gamma-aminobutyrate hydrolase,0,1,0,0,0,0,0
NP_415815.1 DNA-binding transcriptional repressor PuuR,0,0,0,0,0,0,0
NP_415816.1 gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase,0,0,0,1,0,0,0
NP_415817.1 gamma-glutamylputrescine oxidase,1,0,1,1,1,1,0
NP_415818.1 4-aminobutyrate aminotransferase PuuE,1,0,1,1,1,1,0
NP_415819.4 DNA-binding transcriptional dual regulator PspF,0,0,0,0,0,0,0
NP_415820.1 phage shock protein A,1,1,1,0,0,0,0
NP_415821.1 phage shock protein B,1,1,1,0,1,1,1
NP_415822.1 phage shock protein C,1,1,1,1,1,1,1
NP_415823.1 phage shock protein D,1,0,0,0,1,0,1
NP_415824.1 thiosulfate sulfurtransferase PspE,1,1,1,0,1,1,1
NP_415825.4 glucosylglycerate phosphorylase,1,1,0,1,1,0,0
NP_415826.1 putative ABC transporter periplasmic binding protein YcjN,1,0,1,1,1,1,1
NP_415827.1 putative ABC transporter membrane subunit YcjO,1,1,1,1,1,1,1
NP_415828.1 putative ABC transporter membrane subunit YcjP,1,1,1,1,1,1,1
NP_415829.1 putative zinc-binding dehydrogenase YcjQ,0,0,0,0,0,0,0
NP_415830.2 putative ketohexose-3-epimerase YcjR,1,0,1,0,0,0,0
NP_415831.1 putative oxidoreductase YcjS,1,0,1,1,1,1,0
NP_415832.1 kojibiose phosphorylase,0,0,0,1,0,0,0
NP_415833.1 beta-phosphoglucomutase,0,0,0,1,0,0,0
NP_415835.1 outer membrane porin G,1,1,1,1,1,1,1
NP_415836.1 putative LacI-type DNA-binding transcriptional regulator YcjW,0,0,0,0,0,0,0
NP_415837.1 DUF463 domain-containing protein YcjX,1,1,1,1,1,1,0
NP_415838.1 conserved inner membrane protein YcjF,1,0,1,0,1,0,0
NP_415839.1 DNA-binding transcriptional dual regulator TyrR,1,0,1,1,1,1,0
NP_415840.1 lipid hydroperoxide peroxidase,1,1,1,1,1,1,1
NP_415841.4 L-Ala-D/L-Glu epimerase,0,0,0,0,0,0,0
NP_415842.2 murein tripeptide amidase A,1,0,0,1,0,1,0
NP_415843.2 putative hydrolase YcjY,1,1,0,1,1,0,0
NP_415844.1 DNA-binding transcriptional repressor PgrR,0,0,0,0,0,0,0
NP_415845.2 murein tripeptide ABC transporter periplasmic binding protein,1,1,1,1,1,1,1
NP_415846.1 small conductance mechanosensitive channel YnaI,1,1,1,1,1,1,1
NP_415847.1 IS5 transposase and trans-activator,0,0,0,0,0,0,0
NP_415848.1 DUF2534 domain-containing protein YnaJ,1,1,1,1,1,1,1
NP_415849.1 universal stress protein with a role cellular motility,1,1,0,0,0,0,0
NP_415850.1 DNA-binding transcriptional dual regulator FNR,0,0,0,0,0,0,0
NP_415851.1 methylated-DNA--[protein]-cysteine S-methyltransferase,0,0,0,0,0,0,0
NP_415852.2 p-aminobenzoyl glutamate:H(+) symporter,1,1,1,1,1,1,1
NP_415853.1 p-aminobenzoyl-glutamate hydrolase subunit B,0,0,0,1,1,0,0
NP_415854.4 p-aminobenzoyl-glutamate hydrolase subunit A,0,0,0,1,0,0,0
NP_415855.1 putative LysR-type DNA-binding transcriptional regulator AbgR,0,0,0,0,0,0,0
NP_415856.1 DNA endonuclease SmrA,1,0,1,0,0,0,0
NP_415857.2 diguanylate cyclase DgcM,0,0,0,0,0,0,0
NP_415858.1 Zn(2(+)):H(+) symporter,1,0,1,1,1,1,1
NP_415859.1 ATP-dependent RNA helicase DbpA,0,0,0,1,0,0,0
NP_415860.1 tRNA cytosine(32) 2-sulfurtransferase TtcA,0,0,0,0,0,0,0
NP_415861.1 Rac prophage; putative integrase,0,1,0,0,0,0,0
NP_415862.4 Rac prophage; excisionase,1,0,0,0,1,0,0
NP_415863.1 Rac prophage; double-strand break reduction protein,1,0,1,0,0,1,0
NP_415864.1 Rac prophage; endodeoxyribonuclease toxin RalR,0,1,0,0,0,0,0
NP_415865.1 Rac prophage; recombinase DNA renaturation,0,0,0,0,0,0,0
NP_415866.1 Rac prophage; exonuclease VIII ds DNA exonuclease 5' --_ 3' specific,0,1,0,1,0,0,0
NP_415867.1 Rac prophage; protein RacC,1,0,0,0,0,0,0
NP_415869.2 Rac prophage; inhibitor of FtsZ killing protein,1,0,1,0,0,1,0
NP_415870.4 Rac prophage; phage superinfection exclusion protein,1,1,1,1,1,0,1
NP_415872.2 Rac prophage; DUF1391 domain-containing protein YdaF,1,0,1,0,1,1,1
NP_415873.2 Rac prophage; uncharacterized protein YdaG,1,1,1,0,1,1,1
NP_415874.1 Rac prophage; DNA-binding transcriptional repressor RacR,0,0,0,0,0,0,0
NP_415875.1 Rac prophage; toxin YdaS,1,1,1,0,0,1,0
NP_415876.1 Rac prophage; protein YdaT,1,0,0,0,0,0,0
NP_415877.1 Rac prophage; DUF1376 domain-containing protein YdaU,1,0,1,0,1,0,1
NP_415878.1 Rac prophage; putative ATP-binding protein YdaV,0,1,0,0,0,0,0
NP_415881.1 Rac prophage; K(+) transporter TrkG,1,1,1,1,1,1,1
NP_415883.1 Rac prophage; ParB-like nuclease domain-containing protein YnaK,1,0,1,0,0,1,0
NP_415888.1 Rac prophage; IS5 transposase and trans-activator,0,0,0,0,0,0,0
NP_415890.2 Rac prophage; putative membrane protein,1,1,1,1,1,1,1
NP_415891.1 Rac prophage; putative tail fiber assembly protein TfaR,1,1,0,0,1,1,1
NP_415892.1 Rac prophage; putative site-specific recombinase,0,0,0,0,0,0,0
NP_415893.2 Rac prophage; uncharacterized protein YnaE,0,0,0,0,0,0,0
NP_415894.4 nucleotide binding filament protein,0,0,0,0,0,0,0
NP_415895.1 outer membrane porin N,1,1,1,1,1,1,1
NP_415896.1 putative pyruvate-flavodoxin oxidoreductase,1,1,1,1,1,1,0
NP_415897.1 lipoprotein implicated in Novobiocin resistance,1,1,1,0,1,1,1
NP_415898.1 D-lactate dehydrogenase,0,0,0,0,0,0,0
NP_415899.1 PF11739 family protein YdbH,1,1,1,1,1,1,1
NP_415900.1 lipoprotein YnbE,1,1,1,0,1,1,1
NP_415901.2 DUF1318 domain-containing protein YdbL,1,0,1,0,1,1,1
NP_415902.1 DNA-binding transcriptional activator FeaR,1,0,1,0,0,1,0
NP_415903.4 phenylacetaldehyde dehydrogenase,1,0,1,1,1,1,1
NP_415904.3 copper-containing amine oxidase,1,0,1,1,1,0,1
NP_415905.1 oxepin-CoA hydrolase/3-oxo-5-dehydrosuberyl-CoA semialdehyde dehydrogenase,1,1,1,1,1,1,1
NP_415906.1 phenylacetyl-CoA 1-epoxidase monooxygenase subunit,0,0,0,0,0,0,0
NP_415907.1 phenylacetyl-CoA 1-epoxidase subunit B,0,0,0,0,0,0,0
NP_415908.1 phenylacetyl-CoA 1-epoxidase structural subunit,0,0,0,0,0,0,0
NP_415909.4 phenylacetate degradation protein,0,0,0,0,0,0,0
NP_415910.1 phenylacetyl-CoA 1-epoxidase reductase subunit,1,1,1,0,0,1,0
NP_415911.1 putative 2-dehydroadipyl-CoA hydratase,0,0,0,1,1,0,0
NP_415912.1 putative ring 1-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming),1,1,1,1,1,1,1
NP_415913.1 3-hydroxyadipyl-CoA dehydrogenase,1,0,0,1,0,0,0
NP_415914.1 phenylacetyl-CoA thioesterase,1,0,1,1,1,1,1
NP_415915.1 beta-ketoadipyl-CoA thiolase,0,0,0,1,0,0,0
NP_415916.1 phenylacetate-CoA ligase,1,0,1,0,0,0,0
NP_415917.1 DNA-binding transcriptional repressor PaaX,0,0,0,1,0,0,0
NP_415918.1 2-hydroxycyclohepta-1-triene-1-carboxyl-CoA thioesterase,1,0,1,0,0,0,0
NP_415920.1 IS2 insertion element protein InsB,1,0,0,0,0,0,0
NP_415921.2 IS2 insertion element repressor InsA,1,1,1,0,0,1,0
NP_415922.1 IS30 transposase,1,0,0,0,0,0,0
NP_415924.1 pyridoxine 4-dehydrogenase,1,1,1,1,1,1,1
NP_415925.2 DUF2773 domain-containing protein YdbD,1,0,1,1,1,1,1
NP_415926.4 putative inner membrane protein,1,1,1,1,1,1,1
NP_415927.1 putative CDP-diglyceride synthase,1,1,1,1,1,1,1
NP_415928.1 hydrolase/methyltransferase domain-containing protein YnbC,1,0,1,1,1,1,1
NP_415929.1 putative phosphatase,1,1,1,1,1,1,1
NP_415930.1 FMN dependent NADH:quinone oxidoreductase,1,0,0,1,0,0,0
NP_415931.4 ATP-dependent RNA helicase HrpA,0,0,0,1,0,0,0
NP_415932.1 DUF218 domain-containing protein YdcF,0,0,0,0,0,0,0
NP_415933.1 aldehyde dehydrogenase A,1,0,1,1,1,1,1
NP_415935.2 cytochrome b561,1,1,1,1,1,1,1
NP_415936.1 protein YdcA,1,0,1,1,0,1,0
NP_415937.1 putative regulatory protein MokB,0,1,0,0,0,0,0
NP_415938.1 methyl-accepting chemotaxis protein Trg,1,0,1,1,1,0,1
NP_415939.2 putative DNA-binding transcriptional repressor YdcI,1,0,0,1,0,0,0
NP_415940.1 DUF1338 domain-containing protein YdcJ,0,0,0,0,0,0,0
NP_415941.5 glucan biosynthesis protein D,1,0,1,1,0,1,0
NP_415943.4 protein YdcH,0,0,0,0,0,0,0
NP_415944.1 ribosomal-protein-L12-serine acetyltransferase,0,0,0,0,0,0,0
NP_415945.1 putative enzyme YdcK,1,0,0,0,0,0,0
NP_415946.1 tellurite resistance protein,1,1,1,1,1,1,1
NP_415947.1 tellurite methyltransferase,1,1,1,0,0,1,0
NP_415948.1 DUF3313 domain-containing lipoprotein YdcL,1,1,1,1,1,1,1
NP_415949.2 putative insertion element transposase InsQ,1,1,1,0,1,0,1
NP_415950.4 putative transport protein YdcO,1,1,1,1,1,1,1
NP_415951.1 DNA-binding transcriptional dual regulator SutR,0,0,0,0,0,0,0
NP_415952.2 23S rRNA 5-hydroxycytidine C2501 synthase,0,0,0,1,0,0,0
NP_415953.1 protein YncJ,1,0,0,0,0,0,0
NP_415954.2 toxin of the HicA-HicB toxin-antitoxin system,0,0,0,0,0,0,0
NP_415955.2 antitoxin of the HicA-HicB toxin-antitoxin system,1,1,1,0,0,1,0
NP_415956.1 fused putative DNA-binding transcriptional regulator/putative aminotransferase YdcR,1,1,1,1,1,1,1
NP_415957.1 putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase,1,0,1,1,1,1,1
NP_415958.1 putative ABC transporter ATP-binding protein YdcT,1,0,0,0,1,0,1
NP_415959.1 putative ABC transporter membrane subunit YdcU,1,1,1,1,1,1,1
NP_415960.1 putative ABC transporter membrane subunit YdcV,1,1,1,1,1,1,1
NP_415961.1 gamma-aminobutyraldehyde dehydrogenase,1,0,1,1,1,1,0
NP_415962.2 orphan toxin OrtT,1,1,1,1,1,1,1
NP_415963.1 DUF2526 domain-containing protein YdcY,1,1,0,0,0,0,0
NP_415964.1 putative inner membrane protein,1,1,1,1,1,1,1
NP_415965.1 L-amino acid N-acyltransferase,1,1,1,0,0,1,0
NP_415966.6 NADPH-dependent curcumin/dihydrocurcumin reductase,1,1,1,0,0,0,0
NP_415967.2 DNA-binding transcriptional dual regulator McbR,0,0,0,0,0,0,0
NP_415968.1 putative TonB-dependent outer membrane receptor,1,1,1,1,1,1,1
NP_415969.1 PQQ-like domain-containing protein YncE,1,0,1,0,1,0,1
NP_415970.4 L-asparagine transporter,1,1,1,1,1,1,1
NP_415971.1 putative glutathione S-transferase YncG,0,0,0,0,0,0,0
NP_415972.1 DUF5445 domain-containing protein YncH,1,0,0,1,1,1,1
NP_415974.1 uncharacterized protein YdcD,1,1,1,0,1,0,0
NP_415977.1 H repeat-associated putative transposase YdcC,0,0,0,0,0,0,0
NP_415978.1 putative 4-oxalocrotonate tautomerase (4-OT),0,0,0,0,0,0,0
NP_415979.2 flavin reductase-like protein YddH,1,0,0,1,0,1,1
NP_415980.1 arylamine N-acetyltransferase,1,0,0,0,0,0,0
NP_415981.1 PF02567 family protein YddE,1,1,0,0,0,0,0
NP_415982.1 nitrate reductase Z subunit gamma,1,1,1,1,1,1,1
NP_415983.1 NarW putative private chaperone for NarZ nitrate reductase subunit,1,0,1,0,0,1,0
NP_415984.1 nitrate reductase Z subunit beta,1,1,1,1,1,0,1
NP_415985.1 nitrate reductase Z subunit alpha,1,1,1,1,1,1,1
NP_415986.1 nitrate/nitrite transporter NarU,1,1,1,1,1,1,1
NP_415990.5 aromatic amino acid exporter,1,1,1,1,1,1,1
NP_415991.1 formate dehydrogenase N subunit alpha,1,1,1,1,1,1,1
NP_415992.1 formate dehydrogenase N subunit beta,1,0,1,0,1,0,1
NP_415993.1 formate dehydrogenase N subunit gamma,1,1,1,1,1,1,1
NP_415994.4 putative DNA-binding transcriptional regulator YddM,1,1,0,0,1,1,1
NP_415995.4 ethanol dehydrogenase/alcohol dehydrogenase,1,0,1,0,0,1,0
NP_415996.2 malate dehydrogenase NAD-requiring,1,0,1,1,1,1,1
NP_415997.1 30S ribosomal subunit protein S22,0,0,1,0,0,0,0
NP_415998.4 biofilm-dependent modulation protein,1,1,1,0,1,1,1
NP_415999.1 osmotically inducible peroxiredoxin,1,1,1,0,1,1,1
NP_416000.1 putative DD-dipeptide ABC transporter ATP-binding subunit DdpF,1,1,0,0,1,1,1
NP_416001.1 putative DD-dipeptide ABC transporter ATP-binding subunit DdpD,1,1,1,1,1,0,1
NP_416002.1 putative DD-dipeptide ABC transporter membrane subunit DdpC,1,1,1,1,1,1,1
NP_416003.1 putative DD-dipeptide ABC transporter membrane subunit DdpB,1,1,1,1,1,1,1
NP_416004.1 putative DD-dipeptide ABC transporter periplasmic binding protein,1,1,1,1,1,1,1
NP_416005.1 D-alanyl-D-alanine dipeptidase,0,0,0,0,0,0,0
NP_416006.4 oxygen-sensing c-di-GMP phosphodiesterase DosP,0,0,0,1,0,0,0
NP_416007.3 diguanylate cyclase DosC,1,0,0,0,1,1,0
NP_416008.1 putative lipoprotein YddW,1,0,1,1,1,1,1
NP_416009.1 L-glutamate:4-aminobutyrate antiporter,1,1,1,1,1,1,1
NP_416010.1 glutamate decarboxylase B,1,0,1,1,1,1,0
NP_416011.1 putative zinc peptidase,1,0,1,1,1,1,1
NP_416012.1 putative TonB-dependent receptor,1,1,1,1,1,1,1
NP_416013.1 ABC transporter family protein YddA,1,1,1,1,1,1,1
NP_416014.4 putative anaerobic sulfatase maturation enzyme YdeM,0,0,0,1,0,0,0
NP_416015.2 putative sulfatase,1,1,1,1,1,1,0
NP_416016.1 DNA-binding transcriptional dual regulator YdeO,0,1,0,1,0,0,0
NP_416017.1 two-component system connector SafA,1,1,0,1,1,0,0
NP_416018.1 putative oxidoreductase YdeP,0,1,0,1,1,0,0
NP_416019.1 putative fimbrial adhesin protein YdeQ,1,1,1,1,1,1,1
NP_416020.1 putative fimbrial protein YdeR,1,1,1,1,1,1,1
NP_416021.1 putative fimbrial protein YdeS,1,1,1,1,1,1,1
NP_416024.1 serine/threonine kinase HipA,0,0,0,1,0,0,0
NP_416025.1 antitoxin/DNA-binding transcriptional repressor HipB,0,1,0,0,1,0,0
NP_416028.3 autoinducer-2 kinase,0,0,0,1,1,0,0
NP_416029.1 DNA-binding transcriptional repressor LsrR,1,0,0,1,0,0,0
NP_416030.1 Autoinducer-2 ABC transporter ATP binding subunit,1,1,1,1,1,1,1
NP_416031.1 Autoinducer-2 ABC transporter membrane subunit LsrC,1,1,1,1,1,1,1
NP_416032.1 Autoinducer-2 ABC transporter membrane subunit LsrD,1,1,1,1,1,1,1
NP_416033.1 Autoinducer-2 ABC transporter periplasmic binding protein,1,1,1,1,1,1,1
NP_416034.1 3-hydroxy-2-pentadione 5-phosphate thiolase,0,0,0,0,0,0,0
NP_416035.1 (4S)-4-hydroxy-5-phosphonooxypentane-2-dione isomerase,0,0,1,0,0,0,0
NP_416036.1 trans-aconitate 2-methyltransferase,0,0,0,0,0,0,0
NP_416037.2 conserved inner membrane protein YneE,1,1,1,1,1,1,1
NP_416039.1 putative diguanylate cyclase DgcF,1,1,1,1,1,1,1
NP_416040.1 conserved protein YneG,0,0,0,0,0,0,0
NP_416041.1 glutaminase 2,0,0,0,1,1,0,0
NP_416042.2 NAD(+)-dependent succinate semialdehyde dehydrogenase,1,0,0,1,0,0,0
NP_416043.1 putative LysR-type DNA-binding transcriptional regulator YneJ,0,0,0,0,0,0,0
NP_416044.1 protein YneK,0,0,0,0,0,0,0
NP_416045.1 L-arabinose exporter,1,1,1,1,1,1,1
NP_416046.1 inner membrane protein MarC,1,1,1,1,1,1,1
NP_416047.4 DNA-binding transcriptional repressor MarR,0,0,0,0,0,0,0
NP_416048.2 DNA-binding transcriptional dual regulator MarA,0,0,0,0,0,0,0
NP_416049.1 multiple antibiotic resistance protein,1,1,0,0,1,0,1
NP_416050.4 cysteine/O-acetylserine exporter EamA,1,1,1,1,1,1,1
NP_416051.1 dipeptide exporter,1,1,1,1,1,1,1
NP_416052.1 diguanylate cyclase DgcZ,0,0,0,0,0,0,0
NP_416054.1 BOF family protein YdeI,1,0,1,0,0,1,1
NP_416055.1 conserved protein YdeJ,0,0,0,1,1,0,0
NP_416056.1 peptidyl-dipeptidase Dcp,0,0,0,1,0,0,0
NP_416057.1 3-hydroxy acid dehydrogenase,0,0,0,0,0,0,0
NP_416058.1 DNA-binding transcriptional repressor YdfH,1,0,1,0,0,0,0
NP_416059.1 putative selenoprotein YdfZ,1,1,1,0,0,1,0
NP_416060.1 putative oxidoreductase YdfI,0,0,0,1,0,0,0
NP_416062.2 Qin prophage; cold shock protein YdfK,0,0,0,0,0,0,0
NP_416063.1 Qin prophage; putative site-specific recombinase,0,0,0,0,0,0,0
NP_416064.1 Qin prophage; putative tail fiber assembly protein TfaQ,1,0,0,0,0,0,0
NP_416065.1 Qin prophage; putative side tail fiber assembly protein,1,0,0,1,0,0,0
NP_416067.2 Qin prophage; protein YdfO,0,0,0,0,0,0,0
NP_416068.2 Qin prophage; protein GnsB,0,0,0,0,0,0,0
NP_416069.2 Qin prophage; protein YnfN,0,1,0,0,0,0,0
NP_416070.1 Qin prophage; cold shock protein CspI,0,0,0,0,0,0,0
NP_416071.1 Qin prophage; DUF2514 domain-containing protein RzpQ,1,0,1,0,1,1,1
NP_416072.1 Qin prophage; putative lysozyme,1,0,0,0,1,0,0
NP_416073.1 Qin prophage; protein YdfR,0,0,0,0,0,0,0
NP_416074.4 Qin prophage; putative S lysis protein,1,1,1,1,1,0,1
NP_416075.1 Qin prophage; cold shock-like protein CspB,0,0,0,0,1,0,0
NP_416076.1 Qin prophage; cold shock protein CspF,0,0,0,0,0,0,0
NP_416077.4 Qin prophage; putative antitermination protein Q,0,0,0,0,0,0,0
NP_416078.4 Qin prophage; protein YdfU,0,0,0,0,0,0,0
NP_416079.1 Qin prophage; protein Rem,0,1,0,0,0,0,0
NP_416080.1 Qin prophage; toxic protein HokD,1,1,0,0,1,0,1
