Sequence ID,gb,knn,log,nb,rf,svm,tree
NP_010973.3 Cu/Pi carrier,1,1,1,1,1,1,1
NP_010974.1 Gip2p,0,1,1,0,0,0,0
NP_010975.3 ATP phosphoribosyltransferase,1,0,1,0,0,1,0
NP_010976.1 purine-cytosine permease,1,1,1,1,1,1,1
NP_010977.2 ribosomal 60S subunit protein L34A,0,0,0,0,0,0,0
NP_010978.3 putative isoleucine biosynthesis protein HMF1,1,1,1,1,1,1,1
NP_010979.1 Pet117p,1,0,1,0,0,0,0
NP_010980.1 Pcl6p,0,0,1,0,0,0,0
NP_010981.3 purine-cytosine permease,1,1,1,1,1,1,1
NP_010982.1 purine-cytosine permease,1,1,1,1,1,1,1
NP_010983.2 fatty acid synthase CEM1,1,0,0,1,1,0,1
NP_010984.3 glycerol-1-phosphatase HOR2,1,1,1,0,1,1,0
NP_010985.1 Tho1p,0,0,1,0,0,0,0
NP_010986.1 Vhr2p,0,0,0,0,0,0,0
NP_010987.3 isocitrate lyase 1,1,1,1,1,1,0,0
NP_010988.1 Rrt13p,1,1,1,1,1,1,1
NP_010990.1 Rgi1p,0,0,0,0,0,0,0
NP_010991.3 CCR4-NOT core ubiquitin-protein ligase subunit MOT2,0,1,0,1,0,0,0
NP_010992.1 bifunctional acetylglutamate kinase/N-acetyl-gamma-glutamyl-phosphate reductase,1,1,1,1,1,1,1
NP_010993.1 ribonucleotide-diphosphate reductase subunit RNR1,0,0,1,1,1,0,0
NP_010994.3 Tda2p,1,0,1,0,0,1,0
NP_010995.1 Vtc1p,1,1,1,1,1,1,1
NP_010996.2 aldehyde dehydrogenase (NAD(P)(+)) ALD5,1,0,1,1,1,1,1
NP_010997.3 ribosomal 40S subunit protein S24A,0,0,1,0,0,0,0
NP_010998.2 tyrosine protein phosphatase PTP3,1,0,1,1,1,1,1
NP_010999.3 uncharacterized protein YER076C,1,1,1,1,1,1,1
NP_011000.1 Mrx1p,1,0,1,1,1,1,0
NP_011001.1 aminopeptidase,1,0,0,1,0,0,0
NP_011002.1 uncharacterized protein YER079W,0,0,0,0,0,0,0
NP_011003.1 Aim9p,1,0,1,0,1,0,1
NP_011004.3 phosphoglycerate dehydrogenase SER3,1,0,1,1,1,1,1
NP_011005.1 Utp7p,1,0,0,0,0,0,0
NP_011006.2 GET complex subunit GET2,1,1,1,1,1,1,1
NP_011008.3 uncharacterized protein YER085C,0,0,1,0,0,0,0
NP_011009.1 threonine ammonia-lyase ILV1,1,0,1,1,1,1,0
NP_011010.1 putative proline--tRNA ligase AIM10,1,1,1,1,0,0,0
NP_011011.3 Arf family guanine nucleotide exchange factor SBH1,1,1,1,1,1,1,1
NP_011012.3 Dot6p,0,0,0,1,0,1,0
NP_011013.1 type 2C protein phosphatase PTC2,1,0,1,0,0,0,0
NP_011014.1 anthranilate synthase TRP2,1,0,1,1,1,0,0
NP_011015.3 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase,1,0,1,1,1,0,0
NP_011017.3 Ies5p,0,0,0,0,0,0,0
NP_011018.1 TORC2 complex subunit TSC11,0,0,1,1,1,0,0
NP_011019.1 Aim11p,1,1,1,1,1,1,1
NP_011020.3 proteasome core particle subunit beta 3,0,0,0,1,0,0,0
NP_011021.3 recombinase RAD51,1,0,1,0,0,1,0
NP_011022.1 Shc1p,0,1,0,0,0,0,0
NP_011024.1 putative ubiquitin-specific protease UBP9,1,1,1,1,0,0,0
NP_011025.3 ribose phosphate diphosphokinase subunit PRS2,1,1,1,0,0,0,0
NP_011026.3 E2 ubiquitin-conjugating protein UBC6,1,1,1,0,1,0,1
NP_011027.1 Ast2p,1,1,1,1,1,1,1
NP_011028.1 ribosomal 40S subunit protein S8B,0,0,1,0,0,0,0
NP_011029.3 Hsp70 family chaperone SSA4,1,0,1,1,1,1,1
NP_011030.3 Rtt105p,0,0,1,0,0,0,0
NP_011031.1 Nup157p,1,1,1,1,1,1,1
NP_011032.1 Mam1p,0,0,0,0,0,0,0
NP_011033.3 RNA export factor GLE2,1,1,0,1,1,0,1
NP_011035.1 Kap123p,1,0,1,1,1,1,1
NP_011036.1 SBF complex DNA-binding subunit SWI4,1,0,1,1,1,0,0
NP_011037.3 U6 snRNA complex subunit LSM4,0,0,1,0,0,0,0
NP_011038.3 Tmn3p,1,1,1,1,1,1,1
NP_011039.1 Boi2p,0,0,0,1,1,0,0
NP_011040.1 Spr6p,1,0,1,0,0,1,0
NP_011041.3 SUMO-targeted ubiquitin ligase complex subunit SLX8,1,0,1,0,0,0,0
NP_011042.3 ribosomal 60S subunit protein L23B,1,1,1,0,1,1,1
NP_011043.1 osmosensor SHO1,1,0,1,1,1,1,1
NP_011044.1 aspartate/glutamate transporter,1,1,1,1,1,1,1
NP_011046.3 phosphatidylinositol-binding protein SCS2,1,1,1,0,1,1,1
NP_011047.3 uncharacterized protein YER121W,1,0,1,0,0,1,0
NP_011048.1 ADP-ribosylation factor GTPase-activating protein,1,0,1,0,1,1,0
NP_011049.2 casein kinase YCK3,1,0,1,0,0,0,0
NP_011050.3 Dse1p,1,1,1,1,1,1,1
NP_011051.3 NEDD4 family E3 ubiquitin-protein ligase,1,1,1,1,1,1,1
NP_011052.1 rRNA-processing protein NSA2,0,0,0,0,0,0,0
NP_011053.1 Lcp5p,0,0,0,0,0,0,0
NP_011054.3 Vfa1p,1,0,1,0,0,0,0
NP_011055.3 serine/threonine protein kinase SAK1,1,0,0,1,0,0,0
NP_011056.1 Com2p,1,0,1,0,0,1,0
NP_011057.1 ribosomal 40S subunit protein S26B,0,0,0,0,0,0,0
NP_011058.3 Pmd1p,0,0,0,1,1,0,1
NP_011059.3 type 1 serine/threonine-protein phosphatase catalytic subunit GLC7,1,0,1,0,0,0,0
NP_011060.1 Mg-dependent acid phosphatase,0,0,0,0,0,0,0
NP_011062.1 Gdi1p,0,0,0,0,0,0,0
NP_011063.3 uncharacterized protein YER137C,0,0,0,0,0,0,0
NP_011064.3 gag-pol fusion protein,1,0,0,1,0,0,0
NP_011065.1 uncharacterized protein YER138W-A,0,0,0,1,1,1,1
NP_011066.3 RNA polymerase II subunit B1 CTD phosphatase RTR1,0,0,0,0,0,0,0
NP_011067.3 Emp65p,1,1,1,1,1,1,0
NP_011068.1 Cox15p,1,1,1,1,1,1,1
NP_011069.1 DNA-3-methyladenine glycosylase II,1,1,1,0,0,0,0
NP_011070.3 Ddi1p,1,0,1,0,1,0,0
NP_011071.3 putative ubiquitin-specific protease UBP5,1,1,1,1,1,1,1
NP_011072.1 high-affinity iron permease FTR1,1,1,1,1,1,1,1
NP_011073.1 RNA-binding protein LSM5,1,1,0,0,0,0,0
NP_011074.3 cohesin-loading factor complex subunit SCC4,1,1,1,1,1,1,1
NP_011075.3 TATA-binding protein,1,0,1,0,0,1,0
NP_011076.1 Pea2p,1,0,1,0,0,0,0
NP_011077.1 Spi1p,1,0,1,1,0,1,0
NP_011078.3 mRNA-binding ubiquitin-specific protease UBP3,1,0,0,1,1,0,0
NP_011079.3 2-aminoadipate transaminase,1,0,1,1,1,1,1
NP_011080.1 Pet122p,1,1,1,0,0,1,1
NP_011081.1 membrane insertase OXA1,1,1,1,1,1,1,1
NP_011082.3 GTPase-activating protein BEM2,1,1,0,1,1,0,1
NP_011083.3 uncharacterized protein YER156C,0,0,0,0,0,0,0
NP_011084.1 Golgi transport complex subunit COG3,1,1,1,1,1,1,0
NP_011085.1 uncharacterized protein YER158C,0,1,0,0,0,1,0
NP_011086.3 negative cofactor 2 transcription regulator complex subunit BUR6,1,0,1,0,0,0,0
NP_011087.3 gag-pol fusion protein,1,0,0,1,0,0,0
NP_011088.1 Spt2p,0,0,0,0,0,0,0
NP_011089.4 Rad4p,1,0,1,0,1,0,0
NP_011090.3 gamma-glutamylcyclotransferase,1,1,1,0,0,0,0
NP_011091.1 chromatin-remodeling ATPase CHD1,1,0,1,1,0,0,0
NP_011092.1 polyadenylate-binding protein,1,1,1,0,1,1,1
NP_011093.3 aminophospholipid-translocating P4-type ATPase DNF1,1,0,1,1,1,1,1
NP_011094.3 Bck2p,0,0,0,1,0,0,0
NP_011095.1 tRNA adenylyltransferase,1,0,0,1,0,0,0
NP_011096.1 Rph1p,0,0,0,1,0,0,0
NP_011097.3 adenylate kinase ADK2,1,0,1,0,1,0,0
NP_011098.3 TFIIH/NER complex ATP-dependent 5'-3' DNA helicase subunit RAD3,1,0,1,1,0,0,0
NP_011099.1 ATP-dependent RNA helicase BRR2,1,0,1,1,1,0,1
NP_011100.1 Rad24p,0,0,0,1,0,0,0
NP_011101.3 monothiol glutaredoxin GRX4,1,1,1,0,1,1,1
NP_011102.3 trans-aconitate 3-methyltransferase,1,0,1,0,0,0,0
NP_011103.1 RNA helicase,1,0,1,1,1,0,1
NP_011104.3 14-3-3 family protein BMH1,1,0,1,0,0,0,0
NP_011105.4 pyruvate dehydrogenase (acetyl-transferring) subunit E1 alpha,1,0,1,1,1,1,0
NP_011106.1 recombinase DMC1,1,0,1,0,0,1,0
NP_011107.1 Isc10p,1,0,1,0,0,0,0
NP_011109.3 Fmp10p,1,1,1,0,1,1,1
NP_011110.1 5-formyltetrahydrofolate cyclo-ligase,1,1,0,0,0,0,0
NP_011111.1 Tog1p,1,1,1,1,1,1,1
NP_011112.3 Pug1p,1,1,1,1,1,1,1
NP_011113.3 uncharacterized protein YER186C,1,0,1,0,0,1,0
NP_011114.1 uncharacterized protein YER187W,1,0,1,0,1,1,1
NP_011116.3 uncharacterized protein YER189W,0,0,0,0,0,0,0
NP_011117.3 Y' element ATP-dependent helicase protein 1 copy 2,1,1,1,1,1,1,1
NP_011251.1 Cos12p,1,0,1,1,1,1,1
NP_011252.1 uncharacterized protein YGL262W,1,0,1,1,1,1,1
NP_011253.1 seripauperin PAU11,1,0,0,1,1,1,0
NP_011254.1 uncharacterized protein YGL260W,1,1,1,1,1,1,1
NP_011255.1 Yps5p,1,1,1,1,1,1,1
NP_011256.1 Vel1p,1,1,1,1,1,1,1
NP_011257.1 alpha-1-mannosyltransferase MNT2,1,1,1,1,1,1,1
NP_011258.2 alcohol dehydrogenase ADH4,1,0,0,1,1,0,1
NP_011259.1 high-affinity Zn(2+) transporter ZRT1,1,1,1,1,1,1,1
NP_011260.1 Fzf1p,0,0,0,0,0,0,0
NP_011261.1 hexokinase 2,1,1,1,0,0,0,0
NP_011262.1 Rtg2p,0,0,0,1,0,0,0
NP_011263.2 DNA helicase,1,0,0,1,0,1,0
NP_011264.2 Rmr1p,0,0,0,0,0,0,0
NP_011265.1 Zip2p,1,1,0,1,1,0,1
NP_011266.1 3''-cyclic-nucleotide phosphodiesterase PDE1,0,0,0,0,0,0,0
NP_011267.1 Brr6p,1,0,1,1,1,1,1
NP_011268.1 decapping nuclease,0,0,1,0,0,0,0
NP_011269.2 glutamate--tRNA ligase GUS1,0,0,0,0,0,0,0
NP_011270.1 Rtf1p,1,0,1,1,0,0,0
NP_011271.1 tRNA-specific adenosine deaminase,0,0,0,0,0,0,0
NP_011272.1 uncharacterized protein YGL242C,0,0,0,0,0,0,0
NP_011273.1 Kap114p,1,1,1,1,1,1,1
NP_011274.2 anaphase promoting complex subunit DOC1,0,0,0,0,0,0,0
NP_011276.1 importin-alpha export receptor,1,1,1,1,1,1,1
NP_011277.1 transcription activator HAP2,0,0,1,0,0,0,0
NP_011278.2 tRNA modification protein MTO1,1,1,1,1,1,1,1
NP_011279.1 uncharacterized protein YGL235W,0,1,0,1,1,0,1
NP_011280.1 bifunctional aminoimidazole ribotide synthase/glycinamide ribotide synthase,1,1,1,1,1,1,1
NP_011281.1 Rab GTPase-binding exocyst subunit SEC15,1,1,1,1,1,1,1
NP_011282.1 putative tRNA acetyltransferase,0,0,1,0,0,0,0
NP_011283.1 chaperone EMC4,1,1,1,1,1,1,1
NP_011284.1 uncharacterized protein YGL230C,1,0,1,1,1,0,1
NP_011285.1 Sap4p,0,0,0,1,1,0,0
NP_011286.1 She10p,1,1,1,0,1,0,1
NP_011287.1 glucose-induced degradation complex subunit VID30,1,0,1,1,0,0,0
NP_011288.1 dolichyl-diphosphooligosaccharide--protein glycotransferase subunit,1,1,1,1,1,1,1
NP_011289.1 Mtc3p,1,1,1,0,1,0,1
NP_011290.1 GDP-mannose transporter,1,1,1,1,1,1,1
NP_011291.1 nucleotidase,0,0,0,1,0,0,0
NP_011292.1 Golgi transport complex subunit COG1,0,0,1,0,0,1,0
NP_011293.1 Edc1p,0,0,0,0,0,0,0
NP_011294.1 uncharacterized protein YGL221C,1,0,1,0,1,1,0
NP_011295.1 Bol2p,0,0,0,0,0,0,0
NP_011296.1 ERMES complex subunit MDM34,1,0,0,0,1,1,1
NP_011299.1 tubulin-dependent ATPase KIP3,0,0,0,1,0,0,0
NP_011300.1 Clg1p,1,0,1,1,1,1,1
NP_011302.1 SKI complex subunit WD repeat protein SKI8,0,0,0,1,0,0,0
NP_011303.1 Vam7p,0,0,1,0,0,0,0
NP_011304.2 Ncs6p,0,0,0,0,0,0,0
NP_011305.1 Rab family GTPase YPT32,0,0,0,0,0,0,0
NP_011306.1 Mig2p,1,0,0,0,0,0,0
NP_011307.1 Sip2p,0,0,0,0,0,0,0
NP_011308.1 chromatin-remodeling protein SPT16,1,0,1,1,1,0,0
NP_011309.1 clathrin heavy chain,1,1,1,1,1,0,1
NP_011310.1 acyl-CoA oxidase,1,1,1,1,1,1,1
NP_011312.1 serine-type carboxypeptidase,1,1,1,1,1,0,1
NP_011313.1 bifunctional 2-aminoadipate transaminase/aromatic-amino-acid:2-oxoglutarate transaminase,0,0,0,1,0,0,0
NP_011314.2 MCM DNA helicase complex subunit MCM6,1,1,1,1,1,0,0
NP_011315.3 Emp24p,1,1,1,1,1,1,1
NP_011317.2 Yip4p,1,1,1,1,1,1,1
NP_011318.2 Mds3p,0,1,0,1,0,0,0
NP_011319.2 D-serine ammonia-lyase DSD1,0,0,0,1,0,0,0
NP_011320.3 Gcn1p,1,1,1,1,1,1,1
NP_011321.1 histone deacetylase HOS2,0,0,0,0,0,0,0
NP_011322.1 uncharacterized protein YGL193C,0,1,0,1,1,0,1
NP_011323.3 mRNA (N6-adenosine)-methyltransferase,0,1,0,1,0,0,0
NP_011324.1 cytochrome c oxidase subunit VIa,1,0,0,0,1,0,1
NP_011325.1 protein phosphatase 2A regulatory subunit CDC55,1,0,1,1,0,1,0
NP_011326.1 ribosomal 40S subunit protein S26A,0,0,0,0,0,0,0
NP_011328.1 cytochrome c oxidase subunit IV,1,0,0,0,1,0,1
NP_011329.1 Tpn1p,1,1,1,1,1,1,1
NP_011330.1 putative hydroxyacid dehydrogenase,0,0,0,0,0,0,0
NP_011331.3 cystathionine beta-lyase STR3,1,0,1,1,1,1,1
NP_011332.2 Mnd1p,0,0,0,0,0,0,0
NP_011334.1 Gts1p,0,0,1,0,0,0,0
NP_011335.1 serine/threonine protein kinase ATG1,0,1,0,1,1,0,1
NP_011336.3 serine/threonine protein kinase TOS3,0,1,0,1,0,0,0
NP_011337.1 Mpt5p,0,0,0,1,1,1,1
NP_011339.1 uncharacterized protein YGL176C,1,0,1,1,1,1,0
NP_011340.1 ssDNA endodeoxyribonuclease SAE2,0,1,1,0,0,0,0
NP_011341.3 Bud13p,0,0,0,0,0,0,0
NP_011342.1 chromatin-binding exonuclease XRN1,0,1,0,1,0,0,0
NP_011343.1 FG-nucleoporin NUP49,1,1,1,1,1,1,1
NP_011344.1 RNA-dependent ATPase ROK1,1,0,0,0,0,0,0
NP_011345.3 Spo74p,0,0,0,0,0,0,0
NP_011346.1 threonylcarbamoyladenylate synthase,1,0,0,0,0,0,0
NP_011347.1 Hur1p,1,1,1,1,1,1,1
NP_011348.1 Ca(2+)/Mn(2+)-transporting P-type ATPase PMR1,1,1,1,1,1,1,1
NP_011349.3 Cup2p,0,0,0,0,0,0,0
NP_011351.1 Yrb30p,1,1,1,0,0,0,0
NP_011352.1 DNA-dependent ATPase RAD54,0,1,1,1,0,0,0
NP_011353.1 Sut1p,0,0,0,0,0,0,0
NP_011354.3 Yip5p,1,1,1,1,1,1,1
NP_011355.1 putative metalloreductase,1,1,1,1,1,1,1
NP_011356.1 uncharacterized protein YGL159W,1,0,0,1,0,0,0
NP_011357.1 putative serine/threonine protein kinase RCK1,1,0,1,1,1,0,0
NP_011358.3 carbonyl reductase (NADPH-dependent) ARI1,0,0,0,0,0,0,0
NP_011359.1 alpha-mannosidase,1,1,1,1,1,1,1
NP_011360.1 protein geranylgeranyltransferase type I subunit CDC43,0,0,0,1,0,0,0
NP_011361.1 holo-[acyl-carrier-protein] synthase,1,0,1,1,1,1,1
NP_011362.3 Pex14p,1,0,1,0,1,0,1
NP_011364.1 Nut1p,1,0,1,1,1,1,1
NP_011365.1 chromatin-remodeling ATPase INO80,1,0,1,1,0,0,0
NP_011367.1 bifunctional chorismate synthase/riboflavin reductase [NAD(P)H] ARO2,1,0,1,0,0,0,0
NP_011368.3 ribosomal 60S subunit protein L9A,0,0,0,0,0,0,0
NP_011369.1 Rrt6p,1,0,1,1,1,1,1
NP_011371.1 putative lipase ROG1,0,1,0,1,1,0,0
NP_011372.3 Mrf1p,1,0,0,0,0,0,0
NP_011373.1 putative glycosylphosphatidylinositol-alpha 1 mannosyltransferase,1,1,1,1,1,1,1
NP_011374.1 ubiquitin-ubiquitin ligase HUL5,1,0,1,1,1,1,1
NP_011375.1 uncharacterized protein YGL140C,1,1,1,1,1,1,1
NP_011376.3 putative flavin adenine dinucleotide transporter,1,1,1,1,1,1,1
NP_011377.1 uncharacterized protein YGL138C,1,1,1,1,1,1,1
NP_011378.1 coatomer subunit beta',1,0,1,1,1,1,1
NP_011379.1 21S rRNA (uridine2791-2'-O) methyltransferase,0,0,0,0,0,0,0
NP_011380.3 ribosomal 60S subunit protein L1B,0,0,0,0,0,0,0
NP_011381.1 Pcl10p,0,0,0,0,0,0,0
NP_011382.1 Itc1p,1,0,1,1,0,0,0
NP_011384.1 DNA-binding E3 ubiquitin-protein ligase SNT2,0,0,1,1,0,0,0
NP_011385.3 mRNA guanylyltransferase,1,0,1,0,0,0,0
NP_011386.2 mitochondrial 37S ribosomal protein RSM23,1,0,1,1,1,1,1
NP_011387.2 U2-type spliceosomal complex subunit CWC23,0,0,0,0,0,0,0
NP_011388.1 mediator complex subunit SOH1,0,1,0,0,1,1,1
NP_011389.3 Scs3p,1,1,1,1,1,1,1
NP_011390.2 methylenetetrahydrofolate reductase (NAD(P)H) MET13,0,0,0,1,0,0,0
NP_011391.2 Mon1p,1,0,1,1,1,1,1
NP_011392.1 ribosomal 40S subunit protein S2,1,1,1,0,1,1,1
NP_011393.3 mRNA-binding protein NAB2,1,0,1,0,0,0,0
NP_011394.1 Gpg1p,0,0,0,0,0,0,0
NP_011395.1 DEAH-box ATP-dependent RNA helicase PRP43,0,0,0,1,0,0,0
NP_011396.1 protein kinase COQ8,1,0,0,0,0,0,0
NP_011398.3 uncharacterized protein YGL117W,0,0,0,0,0,0,0
NP_011399.1 ubiquitin-protein transferase activating protein CDC20,1,0,0,1,1,1,0
NP_011400.1 AMP-activated serine/threonine-protein kinase regulatory subunit SNF4,1,1,1,1,1,1,1
NP_011401.1 uncharacterized protein YGL114W,1,1,1,1,1,1,1
NP_011402.3 Sld3p,0,0,0,0,0,0,0
NP_011403.1 TATA-binding protein-associated factor TAF6,1,0,1,1,1,1,0
NP_011404.1 ribosome biosynthesis protein NSA1,1,0,1,0,0,0,0
NP_011405.1 Cue3p,0,0,0,0,0,0,0
NP_011407.3 uncharacterized protein YGL108C,0,0,0,0,0,0,0
NP_011408.1 Rmd9p,1,0,1,1,1,1,1
NP_011409.1 Mlc1p,0,0,0,0,0,0,0
NP_011410.1 Arc1p,0,0,0,0,0,0,0
NP_011411.3 putative sugar transporter,1,1,1,1,1,1,1
NP_011412.1 ribosomal 60S subunit protein L28,0,0,0,0,0,0,0
NP_011414.1 Ygk1p,0,0,0,0,0,0,0
NP_011415.1 Seh1p,0,0,0,0,1,0,1
NP_011416.3 putative GTPase LSG1,0,0,1,0,0,0,0
NP_011417.1 SNAP receptor USE1,1,1,1,0,1,1,1
NP_011418.1 Ran guanyl-nucleotide exchange factor,1,0,0,0,0,0,0
NP_011419.1 Tos8p,1,0,0,0,1,1,0
NP_011420.3 Vps45p,0,0,0,0,1,0,0
NP_011421.1 poly(A)-specific ribonuclease,0,1,1,1,1,1,1
NP_011422.1 Spc105p,0,0,0,1,0,0,0
NP_011423.1 nucleocytoplasmic transporter NUP145,1,0,1,1,1,1,1
NP_011424.3 Fe-S cluster-binding ATPase,0,0,0,0,0,0,0
NP_011425.1 Lif1p,1,0,0,0,0,0,0
NP_011426.1 Mf(Alpha)2p,1,1,0,1,1,0,1
NP_011428.1 E2 ubiquitin-conjugating protein MMS2,0,0,0,0,0,0,0
NP_011429.3 coiled-coil domain-containing protein MAD1,1,0,1,0,1,0,1
NP_011430.1 Lcl3p,1,0,1,0,1,0,0
NP_011431.1 O-acyltransferase,1,1,1,1,1,1,1
NP_011432.1 Scy1p,1,1,0,1,1,1,1
NP_011433.3 uncharacterized protein YGL082W,1,0,1,0,0,0,0
NP_011434.1 uncharacterized protein YGL081W,1,0,1,0,1,0,0
NP_011435.1 pyruvate transporter MPC1,1,1,0,0,1,1,1
NP_011436.1 Kxd1p,0,0,0,0,0,0,0
NP_011437.3 RNA-dependent ATPase DBP3,0,0,1,0,0,0,0
NP_011438.1 Hnm1p,1,1,1,1,1,1,1
NP_011439.1 ribosomal 60S subunit protein L7A,0,0,0,0,0,0,0
NP_011440.1 Mps2p,1,0,1,0,0,1,0
NP_011442.3 stress-responsive transcription factor HSF1,0,0,1,1,0,0,0
NP_011444.1 DNA-binding transcription factor AFT1,0,0,0,0,0,0,0
NP_011445.1 DNA-directed RNA polymerase II core subunit RPB9,0,0,0,0,0,0,0
NP_011447.1 mitochondrial nucleoid protein MNP1,1,1,0,0,1,0,0
NP_011448.3 NAD(+) diphosphatase,1,1,1,1,1,1,1
NP_011449.1 deubiquitination module subunit SGF73,0,0,1,0,0,0,0
NP_011450.1 GDP-Man:Man(1)GlcNAc(2)-PP-dolichol alpha-1-mannosyltransferase,1,1,1,1,1,1,1
NP_011451.1 ATP-dependent RNA helicase,1,0,0,1,1,0,0
NP_011452.4 pseudouridine synthase PUS2,1,0,0,0,0,0,0
NP_011453.1 pyruvate carboxylase 1,0,1,1,1,0,0,0
NP_011454.1 Duo1p,0,0,0,0,0,0,0
NP_011455.1 Ybp2p,0,0,0,1,1,0,0
NP_011456.5 protein kinase PKP2,0,0,0,1,0,0,0
NP_011457.1 E2 ubiquitin-conjugating protein RAD6,0,0,0,0,0,0,0
NP_011458.1 Gep7p,1,0,1,1,1,1,1
NP_011459.2 Sds23p,0,0,0,1,0,0,0
NP_011460.3 stearoyl-CoA 9-desaturase,1,0,1,1,0,1,0
NP_011461.1 cornichon family protein,1,1,1,1,1,1,1
NP_011462.1 pheromone-regulated DUP240 family protein PRM8,1,0,1,1,1,0,1
NP_011464.1 DUP240 family protein MST27,1,0,1,1,1,0,0
NP_011465.3 tRNA methyltransferase TYW3,1,0,1,0,0,0,0
NP_011466.1 translation initiation factor eIF4G,0,1,1,1,0,0,0
NP_011467.1 proteasome regulatory particle base subunit RPT6,1,0,0,0,0,0,0
NP_011468.1 N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase catalytic subunit ALG13,1,0,1,1,1,1,1
NP_011470.4 Rim8p,0,0,0,0,1,0,0
NP_011471.1 Rna15p,1,0,1,0,0,0,0
NP_011472.1 transcription elongation factor DST1,0,0,0,0,0,0,0
NP_011475.1 porphobilinogen synthase HEM2,1,1,1,1,0,0,0
NP_011476.1 carbonyl reductase (NADPH-dependent),1,0,0,0,0,0,0
NP_011477.1 initiation-specific alpha-1-mannosyltransferase,1,0,1,1,1,1,0
NP_011478.3 nicotinamidase,0,0,0,0,0,0,0
NP_011479.1 uncharacterized protein YGL036W,0,0,0,1,1,1,1
NP_011480.1 transcription factor MIG1,0,0,0,0,0,0,0
NP_011482.3 Hop2p,0,1,0,0,0,0,0
NP_011483.3 Aga2p,1,1,0,1,1,1,1
NP_011484.1 ribosomal 60S subunit protein L24A,0,0,0,0,0,0,0
NP_011485.1 ribosomal 60S subunit protein L30,0,1,0,0,1,0,0
NP_011486.1 Cgr1p,0,0,0,0,0,0,0
NP_011487.3 putative glucan endo-1-beta-D-glucosidase,1,1,1,1,0,1,0
NP_011488.1 mannosyl-oligosaccharide glucosidase,1,1,1,1,1,1,1
NP_011489.1 tryptophan synthase TRP5,1,0,1,1,1,1,1
NP_011490.2 Pgd1p,1,0,1,0,1,0,0
NP_011492.3 Pib2p,0,0,0,0,0,0,0
NP_011493.1 dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3,1,1,1,1,1,1,1
NP_011494.1 protein kinase ALK1,0,0,0,1,0,0,0
NP_011495.1 GET complex subunit GET1,1,1,1,1,1,1,1
NP_011496.3 casein kinase 2 regulatory subunit CKB1,0,1,0,0,0,0,0
NP_011497.1 J-type chaperone JAC1,1,0,1,0,0,0,0
NP_011498.1 arginyltransferase,0,0,0,1,0,0,0
NP_011499.1 Kap122p,1,1,1,1,1,1,1
NP_011500.3 uncharacterized protein YGL015C,0,0,0,0,0,0,0
NP_011501.1 Puf4p,1,0,0,1,1,0,0
NP_011502.1 drug-responsive transcription factor PDR1,1,0,1,1,1,1,1
NP_011503.1 delta(24(24(1)))-sterol reductase,1,1,1,1,1,1,1
NP_011504.3 proteasome core particle subunit alpha 1,1,0,1,0,0,0,0
NP_011505.1 Mpo1p,1,1,1,1,1,1,1
NP_011506.1 3-isopropylmalate dehydratase LEU1,1,0,1,1,1,0,0
NP_011507.1 H(+)-exporting P2-type ATPase PMA1,1,1,1,1,1,1,1
NP_011509.1 calcium-transporting ATPase PMC1,1,1,1,1,1,1,1
NP_011510.1 Golgi transport complex subunit COG7,1,1,1,0,1,0,0
NP_011511.3 Rpn14p,1,0,1,0,1,1,0
NP_011512.1 Cdh1p,0,1,0,1,1,0,0
NP_011513.1 Erp6p,1,1,1,1,1,1,1
NP_011514.1 sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating),1,0,1,0,0,0,0
NP_011515.4 protein-lysine N-methyltransferase,0,0,0,0,0,0,0
NP_011516.1 Swc4p,0,1,0,0,0,0,0
NP_011517.1 cullin CUL3,0,0,0,1,1,0,0
NP_011518.1 peroxisome biogenesis protein,1,1,1,1,1,1,1
NP_011519.3 transcription factor IIF subunit TFG2,0,0,1,0,0,0,0
NP_011520.2 mRNA splicing protein PRP18,0,1,0,0,0,0,0
NP_011521.1 ethanolamine-phosphate cytidylyltransferase,1,0,1,0,0,0,0
NP_011522.1 ATPase-stabilizing factor family protein,0,0,0,0,0,0,0
NP_011523.3 Sec9p,0,0,1,0,0,0,0
NP_011524.1 nicotinamide-nucleotide adenylyltransferase NMA2,1,0,0,0,0,0,0
NP_011526.1 putative cysteine synthase,1,0,1,0,1,0,0
NP_011527.1 Snu71p,0,0,0,0,0,0,0
NP_011528.3 Msb2p,1,0,1,1,0,0,0
NP_011529.1 putative hydrolase,0,0,0,0,0,0,0
NP_011530.1 uncharacterized protein YGR016W,1,1,1,1,1,1,1
NP_011531.1 uncharacterized protein YGR017W,0,0,0,0,0,0,0
NP_011533.3 4-aminobutyrate transaminase,0,0,0,0,0,0,0
NP_011534.1 H(+)-transporting V1 sector ATPase subunit F,1,1,1,0,1,0,1
NP_011535.1 Dpc29p,1,1,1,0,1,0,0
NP_011537.1 Mtl1p,1,0,0,0,0,1,0
NP_011538.3 tRNA guanylyltransferase,0,0,0,0,0,0,0
NP_011540.3 uncharacterized protein YGR026W,1,1,1,1,1,1,1
